106625   4 gam   Crv Dzhanakh                                                24                     
106625   4 gam   Crv Giena                                                   23                     
107259  15 eta   Vir Zaniah                                                   2,15                  
107259  15 eta   Vir Zannakh                                                 24                     
108248     alf01 Cru Acrux                                                    2,15,19               
108248     alf01 Cru Akruks                                                  23,24                  
108249     alf02 Cru Akruks                                                  23                     
108767   7 del   Crv Algorab                                                  2,15,17,24            
108767   7 del   Crv Algores; Algoral; Algorel                                2                     
108767   7 del   Crv Al'gorab                                                23                     
108903     gam   Cru Gacrux                                                   2,15                  
108903     gam   Cru Gakruks                                                 23                     
109358   8 bet   CVn Chara(the "southern hound" of the CVn)                   2,15,23               
109358   8 bet   CVn Asterion(the "northen hound" of the CVn)                 2,17,23               
109358   8 bet   CVn Venatici                                                 2                     
109379   9 bet   Crv Kraz                                                     2,17                  
109379   9 bet   Crv Krats                                                   23                     
110379  29 gam   Vir Porrima                                                  2,17,23,24            
110379  29 gam   Vir Arich                                                    2,17                  
110380  29 gam   Vir Porrima                                                 23,24                  
111123     bet   Cru Becrux; Mimosa                                           2                     
111123     bet   Cru Bekruks; Mimoza                                         23                     
112185  77 eps   UMa Alioth                                                   2,15,17,19,22         
112185  77 eps   UMa Aliath                                                   2                     
112185  77 eps   UMa Aliot                                                   21,23,24               
112300  43 del   Vir Auva                                                     2,17,23               
112300  43 del   Vir Minelauva(also HD102870)                                 2,17                  
112413  12 alf02 CVn Cor Caroli                                               2,15,17,19,23         
112413  12 alf02 CVn Chara                                                   17                     
112413  12 alf02 CVn Serdtse Karla                                           23,24                  
112413  12 alf02 CVn Kor Karoli                                              21,23                  
112413  12 alf02 CVn Khara                                                   24                     
113226  47 eps   Vir Vindemiatrix                                             2,15,17,19            
113226  47 eps   Vir Vindemiator; Vendemiatrix; Almuredin; Provindemiator     2                     
113226  47 eps   Vir Protrigetrix; Protrygetor; Alaraph(see HD102870,116658)  2                     
113226  47 eps   Vir Vinde-Miatriks                                          23                     
113226  47 eps   Vir Vindemiatriks                                           24                     
114378  42 alf   Com Diadem                                                   2,17                  
116656  79 zet   UMa Mizar(also HD6860,129989)                                2,15,17,19,22         
116656  79 zet   UMa Mizat; Mirza(also HD44743,53244)                         2                     
116656  79 zet   UMa Mizar                                                   21                     
116656  79 zet   UMa Mitsar                                                  23,24                  
116657  79 zet   UMa Mitsar                                                  23                     
116658  67 alf   Vir Spica                                                    2,15,17,19,22         
116658  67 alf   Vir Azimech                                                  2,17                  
116658  67 alf   Vir Spica Virginis; Alaraph(see HD102870,113226)             2                     
116658  67 alf   Vir Spika                                                   21,23,24               
116658  67 alf   Vir Dana                                                    24                     
116842  80 g     UMa Alcor                                                    2,17,19,22            
116842  80 g     UMa Saidak                                                   2                     
116842  80 g     UMa Al'cor                                                  21,23,24               
118098  79 zet   Vir Heze                                                     2,17                  
118098  79 zet   Vir Kheze                                                   23                     
120315  85 eta   UMa Alkaid                                                   2,15,17,19            
120315  85 eta   UMa Alcaid                                                  22                     
120315  85 eta   UMa Benetnash                                                2,17,21,23,24         
120315  85 eta   UMa Benetnasch; Elkeid                                       2                     
120315  85 eta   UMa Al'kand                                                 24                     
121370   8 eta   Boo Mufrid                                                   2,17,23               
121370   8 eta   Boo Muphrid                                                  2,15                  
121370   8 eta   Boo Mufride; Muphride                                        2                     
121370   8 eta   Boo Mifrid                                                  24                     
122451     bet   Cen Agena; Hadar                                             2,19                  
122451     bet   Cen Khadar                                                  23,24                  
123139   5 the   Cen Menkent                                                  2,15,23               
123299  11 alf   Dra Thuban                                                   2,15,17,19,22         
123299  11 alf   Dra Adib; Dragon's Tail                                      2                     
123299  11 alf   Dra Tuban                                                   21,23,24               
124675  17 kap02 Boo Asellus Tertius                                          2                     
124850  99 iot   Vir Syrma                                                    2,15                  
124897  16 alf   Boo Arcturus                                                 2,15,17,19,22         
124897  16 alf   Boo Haris-el-sema                                            2                     
124897  16 alf   Boo Arktur                                                  21,23,24               
125161  21 iot   Boo Asellus Secondus                                         2                     
125337 100 lam   Vir Kkhambaliya                                             24                     
126660  23 the   Boo Asellus Primus                                           2                     
127762  27 gam   Boo Seginus                                                  2,15                  
127762  27 gam   Boo Haris                                                    2,17                  
127762  27 gam   Boo Ceginus(also HD139641)                                   2                     
127762  27 gam   Boo Segin                                                   24                     
128620     alf   Cen Rigel Kentaurus                                          2,15                  
128620     alf   Cen Rigil Kent                                               2,19                  
128620     alf   Cen Toliman                                                  2,17,23,24            
128620     alf   Cen Proksima                                                23,24                  
128620     alf   Cen Rigil' Kentavrus                                        23                     
128621     alf   Cen Proksima Kentavra                                       23                     
129056     alf   Lup Men                                                     23                     
129502 107 mu.   Vir Rijl al Awwa                                             2                     
129988  36 eps   Boo Izar                                                    17,19                  
