Name;Altname;RA;Decl;Constellation;Type;Magnitude;SurfaceBrightness;Diameter;Position Angle;Page;ContrastReserve;OptimalMagnification;Seen;Last Seen
M 91;H400 257 - NGC 4548;12h35m27s;14d29m45s;Coma Berenices;Galaxy;10.1;13.2;5.2'x4.2';150;45;-;-;XS(123/15);
NGC 4550;H400 258 - UGC 7757;12h35m30s;12d13m13s;Virgo;Galaxy;11.5;12.4;3.3'x0.9';178;45;-;-;XS(34/4);
NGC 4559;Caldwell 36 - H400 259 - UGC 7766;12h35m58s;27d57m33s;Coma Berenices;Galaxy;9.5;13.6;11.0'x4.9';150;33;-;-;XS(68/12);
NGC 4565;Caldwell 38 - H400 260 - UGC 7772 - Needle Galaxy;12h36m21s;25d59m14s;Coma Berenices;Galaxy;9.5;12.9;14.9'x2.0';136;33;-;-;XS(176/27);
NGC 4570;H400 261 - UGC 7785;12h36m53s;07d14m47s;Virgo;Galaxy;10.8;12.2;3.7'x1.2';159;45;-;-;XS(27/5);
M 104;H400 262 - NGC 4594 - Sombrero Galaxy;12h39m59s;-11d37m23s;Virgo;Galaxy;8.3;11.9;8.6'x4.2';89;69;-;-;XS(194/25);
NGC 4596;H400 263 - UGC 7828;12h39m56s;10d10m33s;Virgo;Galaxy;10.4;13.0;4.0'x3.4';135;45;-;-;XS(42/7);
NGC 4618;H400 264 - IC 3667;12h41m33s;41d09m02s;Canes Venatici;Galaxy;10.6;13.2;4.2'x3.4';25;21;-;-;XS(65/5);
NGC 4631;Caldwell 32 - H400 265 - UGC 7865 - Herring Galaxy - Herring Nebula - Whale Galaxy;12h42m08s;32d32m28s;Canes Venatici;Galaxy;9.0;12.8;15.2'x2.8';86;33;-;-;XS(152/21);
NGC 4636;H400 266 - NGC 4624?;12h42m50s;02d41m12s;Virgo;Galaxy;9.4;12.7;5.9'x4.6';150;57;-;-;XS(29/4);
NGC 4643;H400 267 - UGC 7895;12h43m20s;01d58m39s;Virgo;Galaxy;10.7;12.7;3.1'x2.5';130;57;-;-;XS(24/4);
NGC 4654;H400 268 - IC 3708;12h43m57s;13d07m33s;Virgo;Galaxy;10.3;13.0;5.0'x3.1';128;45;-;-;XS(26/3);
